ID,DS,Name,Domain,Instances,Labels,PredictiveAttributes ,AttributesTotal,AttStart,AttEnd,LabStart,LabEnd,Nominal,Numeric,Cardinality,Density,Diversity,Dimensionality,xn,yn,gridn,xt,yt,gridt
1,MU,arts1,text,7484,26,23146,23172,1,23146,23147,23172,,,,,,,,,,,,
2,MU,bibtex,text,7395,159,1836,1995,1,1836,1837,1995,,,,,,,,,,,,
3,MU,birds,audio,645,19,260,279,1,260,261,279,,,,,,,,,,,,
4,MU,business1,text,11214,30,21924,21954,1,21924,21925,21954,,,,,,,,,,,,
5,MU,computers,text,12444,33,34096,34129,1,34096,34097,34129,,,,,,,,,,,,
6,MU,corel-5k-sparse,images,5000,374,499,873,1,499,500,873,,,,,,,,,,,,
7,MU,corel-5k,images,5000,374,499,873,1,499,500,873,,,,,,,,,,,,
8,MU,delicious ,text,16105,983,500,1483,1,500,500,1483,,,,,,,,,,,,
9,MU,education1,text,12030,33,27543,27567,1,27534,27535,27567,,,,,,,,,,,,
10,MU,emotions ,,593,6,72,78,1,72,73,78,,,,,,,,,,,,
11,MU,enron,text,1702,53,1001,1054,1,1001,1002,1054,,,,,,,,,,,,
12,MU,entertainment1,,12730,21,32001,32022,1,32001,32002,32022,,,,,,,,,,,,
13,MU,flags ,images,194,7,19,26,1,19,20,26,,,,,,,,,,,,
14,MU,genbase ,biology,662,27,1186,1213,1,1186,1187,1213,,,,,,,,,,,,
15,MU,health1,text,9206,32,30605,30637,1,30605,30606,30637,,,,,,,,,,,,
16,MU,mediamill ,video,43907,101,120,221,1,120,121,221,,,,,,,,,,,,
17,MU,medical ,text,978,45,1449,1498,1,1449,1450,1494,,,,,,,,,,,,
18,MU,nus-wide-full-BoW-l2,images,,81,501,582,1,501,502,582,,,,,,,,,,,,
19,MU,nus-wide-full-cVLADplus,images,269648,81,129,210,1,129,130,210,,,,,,,,,,,,
20,MU,rcv1-subset1,text,6000,101,47236,47337,1,47236,47237,47337,,,,,,,,,,,,
21,MU,rcv1-subset2,text,6000,101,47236,47337,1,47236,47237,47337,,,,,,,,,,,,
22,MU,rcv1-subset3,text,6000,101,47236,47337,1,47236,47237,47337,,,,,,,,,,,,
23,MU,rcv1-subset4,text,6000,101,47229,47330,1,47229,47230,47330,,,,,,,,,,,,
24,MU,rcv1-subset5,text,6000,101,47235,47336,1,47235,47236,47336,,,,,,,,,,,,
25,MU,recreation1,text,2828,22,30324,30346,1,30324,30325,30346,,,,,,,,,,,,
26,MU,reference1,text,8027,33,39679,39712,1,39679,39680,39712,,,,,,,,,,,,
27,MU,scene ,images,2407,6,294,300,1,294,295,300,,,,,,,,,,,,
28,MU,science,,6428,40,37187,37227,1,37187,37188,37227,,,,,,,,,,,,
29,MU,social1,text,3214,39,52350,37227,1,52350,52351,52389,,,,,,,,,,,,
30,MU,society1,text,14512,27,31802,31829,1,31802,31803,31829,,,,,,,,,,,,
31,ME,tmc2007-500,text,28596,22,,522,23,522,1,22,,,,,,,,,,,,
32,MU,tmc2007,text,28596,22,49060,49082,1,49060,49061,49082,,,,,,,,,,,,
33,MU,yeast,biology,2417,14,103,117,1,103,104,117,,,,,,,,,,,,
